x1	y1	e1	x2	y2	e2
23.4	1.76E+02	2.11E+00	21.9	1.20E+02	3.46E+00
23.5	1.75E+02	2.12E+00	22	1.22E+02	3.47E+00
23.5	1.74E+02	2.13E+00	22	1.22E+02	3.48E+00
23.6	1.75E+02	2.10E+00	22.1	1.28E+02	3.47E+00
23.7	1.75E+02	2.12E+00	22.2	1.20E+02	3.37E+00
23.7	1.76E+02	2.11E+00	22.2	1.32E+02	3.47E+00
23.8	1.73E+02	2.10E+00	22.3	1.22E+02	3.37E+00
23.9	1.76E+02	2.10E+00	22.4	1.25E+02	3.32E+00
23.9	1.74E+02	2.11E+00	22.4	1.29E+02	3.40E+00
24	1.78E+02	2.30E+00	22.5	1.22E+02	3.68E+00
24.1	1.71E+02	2.40E+00	22.6	1.32E+02	3.89E+00
24.1	1.78E+02	2.49E+00	22.6	1.26E+02	3.87E+00
24.2	1.74E+02	2.59E+00	22.7	1.32E+02	3.97E+00
24.3	1.73E+02	2.69E+00	22.8	1.27E+02	4.04E+00
24.3	1.73E+02	2.74E+00	22.8	1.28E+02	4.08E+00
24.4	1.70E+02	2.83E+00	22.9	1.29E+02	4.13E+00
24.4	1.74E+02	2.93E+00	22.9	1.27E+02	4.13E+00
24.5	1.77E+02	3.01E+00	23	1.25E+02	4.18E+00
24.6	1.72E+02	3.10E+00	23.1	1.30E+02	4.20E+00
24.6	1.72E+02	3.16E+00	23.1	1.25E+02	4.25E+00
24.7	1.69E+02	3.29E+00	23.2	1.30E+02	4.27E+00
24.8	1.80E+02	3.41E+00	23.3	1.26E+02	4.35E+00
24.8	1.67E+02	3.49E+00	23.3	1.30E+02	4.37E+00
24.9	1.70E+02	3.61E+00	23.4	1.27E+02	4.39E+00
25	1.67E+02	3.72E+00	23.5	1.32E+02	4.48E+00
25	1.75E+02	3.96E+00	23.5	1.32E+02	4.50E+00
25.1	1.66E+02	4.09E+00	23.6	1.32E+02	4.49E+00
25.2	1.73E+02	4.27E+00	23.7	1.37E+02	4.62E+00
25.2	1.69E+02	4.49E+00	23.7	1.29E+02	4.54E+00
25.3	1.76E+02	4.76E+00	23.8	1.26E+02	4.54E+00
25.4	1.76E+02	5.08E+00	23.9	1.33E+02	4.59E+00
25.4	1.83E+02	5.49E+00	23.9	1.23E+02	4.57E+00
25.5	1.88E+02	5.68E+00	24	1.28E+02	4.64E+00
25.6	1.87E+02	6.43E+00	24.1	1.35E+02	4.71E+00
25.6	2.32E+02	7.48E+00	24.1	1.32E+02	4.76E+00
25.7	2.27E+02	8.49E+00	24.2	1.38E+02	4.80E+00
25.6	2.30E+02	2.41E+00	24.3	1.39E+02	4.78E+00
